fold,seed,model,condition,AUPRC,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10
2,7703,source_balanced_aug,F200,0.7744070534395963,0.013793103448275862,0.0,0.6275862068965518,0.054140127388535034,0.6482758620689655,0.06369426751592357
2,7703,source_balanced_aug,M3F200,0.7455323346796052,0.013793103448275862,0.0,0.5310344827586206,0.07961783439490445,0.5862068965517241,0.09554140127388536
2,7703,source_balanced_aug,adaptive_transfer,0.588300326627986,0.006896551724137931,0.0031847133757961785,0.296551724137931,0.09872611464968153,0.3448275862068966,0.10191082802547771
2,7703,tc_hard,cleanM0,0.8736574944330339,0.3448275862068966,0.006369426751592357,0.8551724137931035,0.06369426751592357,0.8551724137931035,0.06369426751592357
2,7703,tc_hard,F200,0.7097872673067629,0.23448275862068965,0.028662420382165606,0.6551724137931034,0.16878980891719744,0.6551724137931034,0.16878980891719744
2,7703,tc_hard,M3F200,0.6091915876558599,0.18620689655172415,0.028662420382165606,0.5586206896551724,0.20382165605095542,0.5586206896551724,0.20382165605095542
2,7703,tc_hard,adaptive_transfer,0.8404205869191514,0.296551724137931,0.006369426751592357,0.7379310344827587,0.06369426751592357,0.7379310344827587,0.06369426751592357
2,7704,clean,cleanM0,0.8103943826477147,0.23448275862068965,0.006369426751592357,0.5103448275862069,0.041401273885350316,0.5517241379310345,0.09554140127388536
2,7704,clean,F200,0.5856309016436702,0.006896551724137931,0.0,0.0896551724137931,0.028662420382165606,0.20689655172413793,0.05732484076433121
2,7704,clean,M3F200,0.5965758699446243,0.013793103448275862,0.0,0.12413793103448276,0.025477707006369428,0.20689655172413793,0.050955414012738856
