0xf0fV0x917	0xf17B0x917
0xf57V0x917	0xf5fB0x917
0xf9eV0x917	0xfa6B0x917
0xfc7V0x917	0x5eefB0x917
0x1015V0x917	0x5f3bB0x917
0x107bV0x917	0x1087B0x917
0x1082V0x917	0x5f87B0x917
0x10e1V0x917	0x10e9B0x917
0x1117V0x917	0x5fd3B0x917
0x1176V0x917	0x117eB0x917
0x1196V0x917	0x601fB0x917
0x11b5V0x917	0x606bB0x917
0x11f3V0x917	0x60b7B0x917
0x1212V0x917	0x6103B0x917
0x126eV0x917	0x1277B0x917
0x1286V0x917	0x614fB0x917
0x12a0V0x917	0x619bB0x917
0x12c7V0x917	0x61e7B0x917
0x1327V0x917	0x6233B0x917
0x1341V0x917	0x627fB0x917
0x1366V0x917	0x62cbB0x917
0x1381V0x917	0x6317B0x917
0x13bbV0x917	0x6363B0x917
0x1416V0x917	0x63afB0x917
0xec9V0x917	0xed0B0x917
0xed1V0x917	0xed8B0x917
0xee2V0x917	0xf20B0x917
0xf2aV0x917	0xf68B0x917
0xf71V0x917	0xfafB0x917
0xfc0V0x917	0xfccB0x917
0xfe2V0x917	0xffaB0x917
0x100eV0x917	0x101aB0x917
0x1030V0x917	0x104dB0x917
0x1047V0x917	0x1038B0x917
0x1436V0x917	0x143dB0x917
0x1093V0x917	0x109cB0x917
0x10b4V0x917	0x10f2B0x917
0x1110V0x917	0x111cB0x917
0x1128V0x917	0x1131B0x917
0x1149V0x917	0x1187B0x917
0x118fV0x917	0x119bB0x917
0x11a4V0x917	0x13acB0x917
0x13b4V0x917	0x13c0B0x917
0x11c6V0x917	0x11cfB0x917
0x11ecV0x917	0x11f8B0x917
0x120bV0x917	0x1217B0x917
